Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01HU-Login-Cierre de Sesión,,,,2022-05-23 18:53:31,2022-05-23 19:22:35,"29m - 4,708s",FAILED
,,,,,,,
Test Cases/Sprint 1/01HU-Login-Cierre de Sesión/01 Especificaciones Funcionales - Primer Login exitoso del Cliente,,"Si el nombre del cliente es mayor al límite máximo de caracteres que permite la resolución del dispositivo, la aplicación mostrará el nombre de usuario seguido de tres (03) puntos suspensivos (…), para indicar que continúa. No se generará una segunda línea con el nombre del usuario en ningún caso.
El límite de caracteres máximo a mostrar dependerá de la resolución del dispositivo móvil.


Precondiciones
El primer nombre del cliente será retornado por el servicio.


Datos utilizados
Cliente: 477726   Numero de documento: 3456789

LUIS AUGUSTO EMMANUEL DUARTE SANCHEZ


Pasos a seguir
Ingresar datos correctos del cliente, e iniciar sesión


Resultado Esperado
Al ingresar por primera vez en la aplicación, el texto de bienvenida expresa “¡Hola!”.

Si el usuario hace login exitoso, al cerrar sesión podrá ver en la Pantalla Login, el texto “¡Hola <Primer nombre del cliente>!”.",TET-918,2022-05-23 18:53:31,2022-05-23 18:55:07,"1m - 35,785s",PASSED
"startApplication(URL, true)",,,,2022-05-23 18:53:32,2022-05-23 18:54:12,"39,969s",PASSED
"delay(10, CONTINUE_ON_FAILURE)",,,,2022-05-23 18:54:12,2022-05-23 18:54:22,"10,043s",PASSED
"Hola = getText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.TextView - Hola Primer Login""), 0)",,,,2022-05-23 18:54:22,2022-05-23 18:54:24,"2,101s",PASSED
"verifyEqual(Hola, ""¡Hola!"")",,,,2022-05-23 18:54:24,2022-05-23 18:54:24,"0,016s",PASSED
"setText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.EditText - Ejemplo 0981123456 (1)""), Numerocelular, 0)",,,,2022-05-23 18:54:24,2022-05-23 18:54:26,"2,045s",PASSED
"setText(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.EditText (2)""), Contrasena, 0)",,,,2022-05-23 18:54:26,2022-05-23 18:54:28,"1,740s",PASSED
"tap(findTestObject(""Object Repository/Sprint 1/Inicio primera vez y cierre de sesion/android.widget.Button - Ingresar (2)""), 0)",,,,2022-05-23 18:54:28,2022-05-23 18:54:29,"1,202s",PASSED
"tap(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.Button - NO (1)""), 0)",,,,2022-05-23 18:54:29,2022-05-23 18:54:52,"22,424s",PASSED
"tap(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.ImageView""), 0)",,,,2022-05-23 18:54:52,2022-05-23 18:54:54,"1,665s",PASSED
"tap(findTestObject(""Sprint 1/cierre de sesion/android.widget.ImageView Icono salir superior""), 0)",,,,2022-05-23 18:54:54,2022-05-23 18:54:56,"2,314s",PASSED
"tap(findTestObject(""Sprint 1/cierre de sesion/android.widget.Button - SI (cerrar sesion)""), 0)",,,,2022-05-23 18:54:56,2022-05-23 18:54:56,"0,647s",PASSED
"SILVIA = getText(findTestObject(""Sprint 1/Inicio primera vez y cierre de sesion/android.widget.TextView -  NombreUsuario""), 0)",,,,2022-05-23 18:54:56,2022-05-23 18:55:07,"10,203s",PASSED
"verifyEqual(Nombredeusuario, findTestData(""Usuarios"").getValue(4, 1))",,,,2022-05-23 18:55:07,2022-05-23 18:55:07,"0,049s",PASSED
,,,,,,,
Test Cases/Sprint 1/01HU-Login-Cierre de Sesión/02Estructura de la pantalla - Pantalla de Login,,"La pantalla cuenta con los siguientes elementos:

Encabezado de la pantalla con banner principal.

Texto de bienvenida “¡Hola!”.

 Número de celular (Campo de texto).

Contraseña (Campo de texto).

 Icono de mostrar contraseña.

 ¿Olvidaste tu contraseña? (Botón plano).

Ingresar (Botón).

 Menú inferior:  Soporte (Botón plano).

El campo Número de celular muestra el texto de ayuda “Ejemplo: 0981748291”.",TET-920,2022-05-23 18:55:07,2022-05-23 18:55:35,"28,189s",PASSED
"startApplication(URL, false)",,,,2022-05-23 18:55:07,2022-05-23 18:55:21,"13,234s",PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2022-05-23 18:55:21,2022-05-23 18:55:26,"5,004s",PASSED
"clearText(findTestObject(""Sprint 1/Login/android.widget.EditText - Numero de celular login""), 0)",,,,2022-05-23 18:55:26,2022-05-23 18:55:28,"1,942s",PASSED
"Banner = getAttribute(findTestObject(""Sprint 1/Login/android.widget.ImageView.Banner""), ""resource-id"", 0)",,,,2022-05-23 18:55:28,2022-05-23 18:55:29,"1,389s",PASSED
"verifyMatch(Banner, ""com.verticalapps.KonyMobileBanking:id/imgKonyLogo"", false)",,,,2022-05-23 18:55:29,2022-05-23 18:55:29,"0,011s",PASSED
"Hola = getText(findTestObject(""Sprint 1/Login/android.widget.TextView - Hola (1)""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-23 18:55:29,2022-05-23 18:55:30,"0,840s",PASSED
"verifyEqual(Hola, ""¡Hola"")",,,,2022-05-23 18:55:30,2022-05-23 18:55:30,"0,002s",PASSED
"NumerodeCelular = getText(findTestObject(""Sprint 1/Login/android.widget.TextView - Nmero de celular""), 0)",,,,2022-05-23 18:55:30,2022-05-23 18:55:31,"0,722s",PASSED
"verifyEqual(NumerodeCelular, ""Número de celular:"")",,,,2022-05-23 18:55:31,2022-05-23 18:55:31,"0,002s",PASSED
"Contrasena = getText(findTestObject(""Sprint 1/Login/android.widget.TextView - Contrasea""), 0)",,,,2022-05-23 18:55:31,2022-05-23 18:55:32,"1,105s",PASSED
"verifyEqual(Contrasena, ""Contraseña:"")",,,,2022-05-23 18:55:32,2022-05-23 18:55:32,"0,003s",PASSED
"IconoContrasena = getAttribute(findTestObject(""Sprint 1/Login/android.widget.ImageView.IconoMostrarContraseña""), ""resource-id"", 0)",,,,2022-05-23 18:55:32,2022-05-23 18:55:32,"0,693s",PASSED
"verifyMatch(IconoContrasena, ""com.verticalapps.KonyMobileBanking:id/imgPwdVisiblityToggle"", false)",,,,2022-05-23 18:55:32,2022-05-23 18:55:32,"0,002s",PASSED
"OlvidastetuContrasena = getText(findTestObject(""Sprint 1/Login/android.widget.TextView - Olvidaste tu contrasea""), 0)",,,,2022-05-23 18:55:32,2022-05-23 18:55:33,"0,609s",PASSED
